Entity	Entity Annotation	Property	Property Annotation	Condition on Property	Definition 	Value Type	Recommended Ontology / Resource	Cardinality	Requirement Level	Evidence	Example(s)	Notes
An object that can exist independenty and can be identified uniquely.	An ontology concept that annotates the corresponding entity.	An attribute describing the corresponding entity.	An ontology concept that annotates the corresponding property.	The corresponding property should satisfy the specified condition (e.g. should be provided only if another property has a specific value).	A statement of the exact meaning of the entity and/or property. 	The type of a property value.	The recommended resources (e.g. ontology or database) that should be used to assigned the values for the corresponding Entity/Property pair.	The expected number of occurrences for a particular property.	Following RFC 2119 (http://www.ietf.org/rfc/rfc2119.txt), a word indicating the level of necessity for a particular property. 	A reference to the document, article, schema, discussion that yields a particular entity or property necessary to be included and its requirement level.	Typical cases for the values of a particular property. 	Additional comments that may help the interpretation and representation of the corresponding entity and/or property.
SECTION: Information about Investigation / Project and Experiment / Study (the experimental context)												
												
Investigation	planned process				A planned activity that involves one or more studies.					CellMissy schema (project)		
		identifier			Primary identifier for the investigation. Ideally, a persistent identifier but an internal user identifier at a minimum.	integer		0..1	SHOULD	CellMissy schema (project.projectNumber)		
		identifierSource			Information about the organisation or namespace responsible for creating and maintaining the identifier.	string		0..1	SHOULD			
		description			A textual narrative comprised of one or more statements about the investigation.	string		1	MUST	CellMissy(project.description)		
		contacts			The person(s) which contributed to the investigation, such as the Principal Investigator/corresponding author in publications or other researchers involved.	Person		1..n	MUST	CellMissy(user), Survey		
		studies 			The studies associated with the Investigation.	Study		1..n	MUST			
		publications			Scholarly articles associated with the investigation, usually describing the methods applied and conclusions reached by the investigation. 	Publication		0..n	SHOULD	Survey		
		acknowledges			The grant(s) which funded and supported the investigation.	Grant		0..n	MAY	ISA experience		
		conclusions			A set of statements summarizing the findings of the investigation. It could be a URI referring to a nanopublication. 	string or URL		0..n	MAY			
		 										
Study	investigation				A planned activity that consists on study planning, study design execution,  documentation and which produces conclusion(s). 							CellMissy includes 'magnification' as part of the experiment/study but in MIACME we include 'magnification' as a property of the instrument and it is removed from a property of the Study.
in CellMissy, in vitro experiments only		identifier			Primary identifier for the experiment.	integer		 	MUST			
		description	investigation description		A textual narrative comprised of one or more statements about the study.	string		1	MUST	CellMissy(experiment.purpose)		
		type			The type of study. 	string or CV 		1	MUST	http://onlinelibrary.wiley.com/doi/10.1034/j.1600-0854.2002.30105.x/epdf  and https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4602067/	xy or 2D migration+end-point; xyz:3D migration (focal planes + end-point; xyt 2D migration in time (either time-lapse or discrete time points), xyzt, xyC (C channels, spectral measurements); 5D concept	
		instruments			One or more instruments that are used in this study.	Instrument		1..n	MUST	CellMissy		
		plates			One or more plates used in the study. 	Plate		1..n	MUST	CellMissy(plateFormat)		plate format is unique to the study
		experimentalConditions			One or more experimental conditions considered for this study.	ExperimentalCondition		1..n	MUST	CellMissy(PlateCondition)		Need to agree on the name: experimental condition?
		rawData			The raw data generated in this study.	Dataset (or ImageDataset)		0..n	SHOULD			
		derivedData			The derived data from this study.	DerivedData		0..n	SHOULD			
		dates			Dates relevant to the study.  	Date		0..n	SHOULD	CellMissy(experiment.experimentDate)	start date, publication date	
		experimentStatus			The life cycle of the experiment: planned, ongoing, completed.	string		0..1	MAY	CellMissy	planned, ongoing, completed	
		conclusions			A set of statements summarizing the findings of the study. It could be a URI referring to a nanopublication. 	string or URL		0..n	MAY			
												
Date					A date							
		date			A string representing a date.	string compliant with ISO8601		1	MUST			
		type			The type of date.			1	MUST		publication date, release date	
												
Instrument					The instrument used for the study.							
		name			The name of the instrument.	string				CellMissy schema		
		type			The kind of instrument, ideally from a controlled vocabulary.	string or CV					transmission microscope, epifluoresnce microscope, confocal microscope	
		manufacturer			The organisation that produced the Instrument, or a textual description of such organisation.	string or Organization					Olympus, Zeiss, Leica	
		objectiveType			The range of objective manufacturer and objective acronyms of the instrument, specifying optical correction, primary use of microscopy method and magnification (may also include immersion medium and/or working distance or field of view) 	string or CV		0..n	MAY		Olympus UPLSAPO 20x, Leica HI PLAN 4x/0.10, Nikon FI Plan Apo VC 60XWI	Objective names or acronymes are company specific (https://www.microscopyu.com/microscopy-basics/microscope-objective-specifications) and can be obtained from company sites e.g. http://www.olympus-lifescience.com/en/objectives/; the specific objective type used in an study will appear in the ImagingProtocol.
		objectiveMagnification			Linear magnification of the objective	integer 		0..n	MAY	CellMissy(Magnification.magnificationNumber)	10 (meaning 10x)	
		objectiveNumericalAperture			Value that indicates the light acceptance angle of the objective ( determines the light gathering power, resolving power, and depth of  field of the objective).	double		0..n	MAY		0.75	
		voxelSize			The size of the voxel (usually the same in the x and in y directions).	(double, double, double)		0..1	MAY	Descriptors ranking included pixelSize, here generalised to voxelSize.	0.73	Pixel size depends on the objective lens.
		voxelSizeUnit			The unit of measurement of the voxel size.	string or CV		0..1	MAY	Descriptors ranking included pixelSizeUnit, here generalised to voxelSizeUnit.	µm, mm	
		voxelConversionFactor			Factor to use to convert the voxel size into µm and viceversa.	(double, double, double)			MAY	CellMissy(Instrument.conversionFactor)		The conversion factor is different at each magnification. Usually, coversion factor at magnification 10x is used as a reference.
												
												
Plate					Cell culture container of n x m wells used for in vitro assay.					CellMissy(PlateFormat)		In CellMissy, the PlateFormat includes a property for the wellSize, but in MIACME this is not required (as the information on the well size can be extracted from the Plate.format).
		type			The type of the plate or migration device	string or CV		0..1	MUST	doc	cell culture multiwell plate, µ-plate, transwell assay plate, chemotaxis assay device 	
		format			The format of the container e.g. multiwell plate, in terms of number of columns and rows of the rectangular matrix	integer		1	MUST		6, 24, 96, 384 or 1536 sample wells arranged in a 2:3 rectangular matrix	
		numberOfCols			The number of columns of the matrix.	integer		1	MUST			
		numberOfRows			The number of rows of the matrix.	integer		1	MUST			
		wells 			The list of wells that form the plate.	Well		1..n	MUST			
		manufacturer			The company that produces and sells the plate.	string or CV		0..1	MAY	doc	Sigma-Aldrich, Corning, ibidi	
		plateCoating 			Intrinsic coating provided by the manufacturer.	string or CV		0..1	MAY		collagen	
												
Well					Each compartment in a microtiter plate.							
		columnIdentifier			An identifier for the column position of the well in the plate matrix.	string		1	MUST	CellMissy(Well.colNumber)	2	
		rowIdentifier			An identifier for the row position of the well in the plate matrix.	string		1	MUST		http://labstats.net/figs/96well_unbal.png	
		images			The datasets of images collected for this well.	ImageDataset		0..n	SHOULD	CellMissy(WellImagingType)	data images collected for the specific well	
												
Person					A human being.							
		identifier			A persistent identifier of the person, it should be an ORCID	string		1	MUST			
		identifierSource			Information about the organisation or namespace responsible for creating and maintaining the identifier.	string		1	MUST			
		email			The email address.	string		1..n	SHOULD			
		firstName			The given name.	string		1	MAY			
		lastName			The family name.	string		1	MAY			
		affiliations			The organizations to which the person is associated with.	Organization 		0..n	MAY			
		roles			The roles assumed by the person. Ideally from a controlled vocabulary or ontology.	string or CV		0..n	MAY			
												
Publication					An article, report, or generally a document describing the study.							
		identifier			A persistent identifier for the publication, it should be a DOI or pubmed identifier	string or URL		1	MUST			
		identifierSource			Information about the organisation or namespace responsible for minting the identifier.	string		0..1	SHOULD			
		title			The title of the publication.	string		0..1	SHOULD			
		publicationVenue			The venue where the publication appears (journal, publishing platform etc).	string		0..1	SHOULD			
		authors			The list of authors that appear on the publication.	Person		0..n	SHOULD			
		date			publication date	Date[type='publication']		0..1	SHOULD			
												
Grant					An allocated sum of funds given by a government or other organization for a particular purpose.							
		identifier			Primary identifier for the grant.	string		0..1	SHOULD			
		identifierSource			Information about the organisation or namespace responsible for creating and maintaining the identifier.	string		0..1	SHOULD			
		name			The name of the grant and its funding program.	string		1	MUST			
		funders			The person(s) or organization(s) which has awarded the funds supporting the project.	(Person or Organization) and role funder		1..n	MUST			
												
Organization					Legal or physical entity corresponding to a business or administration							
		identifier			Primary identifier for the organisation.		For funders, fundref					
		identifierSource			Information about the organisation or namespace responsible for minting the identifier.	string		0..1	SHOULD			
		name			The name of the organization.	string		1	MUST		University of Oxford	
												
SECTION: Biological Conditions												
												
ExperimentalCondition					The experimental conditions involve the environmental and longitudinal conditions, thus recapitulating anything from sample, cell seeding conditions, to cell maintenance, to cell perturbation, to cell assay and data acquisition.					CellMissy(PlateCondition)		
		wells			The list of wells that form the experimental condition.	Well		1..n	MUST			wells to which a specific experimental condition applies (if more than 1: replicates)
