"IF YOU HAVE FEEDBACK ON MIACME, PLEASE USE THE LIVE SPREADSHEET TO LEAVE COMMENTS, THANKS: http://tiny.cc/miacme-live",,,,,,,,,,,,
Entity,Entity Annotation,Property,Property Annotation,Condition on Property,"Definition
",Value Type,Recommended Ontology / Resource,Cardinality,Requirement Level,Evidence,Example(s),Notes
An object that can exist independenty and can be identified uniquely.,An ontology concept that annotates the corresponding entity.,An attribute describing the corresponding entity.,An ontology concept that annotates the corresponding property.,The corresponding property should satisfy the specified condition (e.g. should be provided only if another property has a specific value).,"A statement of the exact meaning of the entity and/or property.
",The type of a property value.,The recommended resources (e.g. ontology or database) that should be used to assigned the values for the corresponding Entity/Property pair.,The expected number of occurrences for a particular property.,"Following RFC 2119 (http://www.ietf.org/rfc/rfc2119.txt), a word indicating the level of necessity for a particular property.
","A reference to the document, article, schema, discussion that yields a particular entity or property necessary to be included and its requirement level.","Typical cases for the values of a particular property.
",Additional comments that may help the interpretation and representation of the corresponding entity and/or property.
SECTION: Experimental Setup,,,,,,,,,,,,
ExperimentalSetup,,,,,,,,,,,,
,,assayType,,,,string or CV,,,MUST,,"single-cell migration, collective cell migration, developmental assay, 
immune response, chemotaxic, microfluidic, wound-healing, spheroid",
,,interference,,,,,,,MUST,,"(RNAi, gene construct, chemicals, serum, substrate stiffness) or specific protein",
,,microenvironmentSubstrate,,mutually exclusive,,,,,MUST (one of them),,"glass, plastic, ECM, gel
collagen, fribronecting",
,,microenvironmentTissue,,,,,,,,,"mouse, dermis, zebrafish, embryo",
,,cellType,,,The kind of cells used in the experiment.,,,,MUST,,"cell line, primary cell, endogenous cell",
,,medium,,,The medium in which cell migration is assayed.,,,,MAY,,"EGF, HGF",
,,,,,,,,,,,,
,,,,,,,,,,,,
SECTION: ImagingCondition,,,,,,,,,,,,
ImagingCondition,,,,,,,,,,,,
,,modality,,,The type of equipment used to acquire images.,string or CV,,,MUST,,"confocal microscopy, spinning disk, wide-field, multi-photon, light-sheet, super-resolution, phase-contrast",
,,temporalResolution,,,Single or multiple imaging timepoints in the experiment. ,string or CV,,,MUST,,endpoint or time-lapse,
,,duration,,if temporalResolution=time lapse,The timespan since the imaging process starts until it ends.,real number,,1,"MUST, if condition is true",,36,
,,timeLapseInterval,,if temporalResolution=time lapse,The duration between two sequential frames of the time lapse series.,real number,,,"MUST, if condition is true",,10,
,,channelReadout,,,Identification of the label or constrasts,,,,MUST,,,
,,objective,,,"Objective manufacturer and objective acronym specifying optical correction, primary use of microscopy method and magnification (may also include immersion medium and/or working distance or field of view)",string or CV,,,MAY,,,
,,,,,,,,,,,,
SECTION: Data,,,,,,,,,,,,
Data,,,,,,,,,,,,
,,rawImages,,,The set of raw images produced by the study.,link(s) to file(s),,,MAY,,,
,,numberOfRawImages,,,The number of raw images.,integer,,,,,,
,,processedImages,,,The set of processed images produced by the study.,link(s) to file(s),,,MAY,,"filtered images, deconvoluted images, masked images, images with tracks overlay, traction flow, PIV flow fields",
,,extractedFeatures,,,The set of extracted features produced by the study.,link(s) to file(s),,,MAY,,"trajectories (x, y, t), derived quantities like cell speed, persistence of motion, shape features (cell area, cell solidity, cell perimeter…)",
